The Plastic Age,6.0,Comedy/Romance/Sport
The Pleasure Garden,6.0,Drama/Romance
Poil de carotte,7.0,Drama
Prem Sanyas,6.8,Drama
Pretty Ladies,3.7,Comedy/Drama
The Rag Man,7.1,Drama/Comedy
The Red Kimona,6.6,Biography/Drama/Romance
Riders of the Purple Sage,6.4,Action/Drama/Western
The Road to Yesterday,6.8,Drama/Fantasy/Romance
Sally of the Sawdust,6.6,Comedy
Sally Irene and Mary,3.8,Comedy/Drama
The Salvation Hunters,6.7,Drama
Seven Chances,7.9,Comedy/Romance
She,6.1,Adventure/Fantasy/Sci-Fi
Soul-Fire,4.1,Drama
Die Stadt ohne Juden,6.4,Drama
Stage Struck,6.5,Comedy
Stella Dallas,7.2,Drama
Tumbleweeds,6.5,Western
The Unholy Three,7.2,Crime/Drama/Romance
The Vanishing American,6.8,Western
Varieté,7.4,Crime/Drama/Romance
Visages d'enfants,7.7,Drama/Mystery/Romance
Le voyage imaginaire,6.7,Comedy/Drama/Fantasy
The Wizard of Oz,5.1,Comedy/Family/Fantasy
Wolfblood,5.8,Adventure/Drama/Romance
A Woman of the World,6.9,Comedy/Drama
Zakroyshchik iz Torzhka,6.8,Comedy
Zander the Great,5.4,Action/Comedy/Drama
Zur Chronik von Grieshuus,6.6,Drama
Bardelys the Magnificent,7.0,Drama/Romance
The Bat,6.5,Mystery/Thriller
Battling Butler,7.0,Action/Comedy/Romance
Beau Geste,7.0,Action/Adventure/Drama
The Bells,6.5,Crime/Drama/Horror
The Better 'Ole,6.3,Comedy/War/Drama
Beverly of Graustark,5.9,Comedy/Romance
The Black Pirate,7.1,Adventure/Action
The Blackbird,6.8,Crime/Drama/Romance
The Blue Eagle,5.5,Action/Drama
La Bohème,7.3,Drama/Romance
The Boob,5.0,Comedy/Romance
Brown of Harvard,6.2,Action/Drama/Romance
Brudeferden i Hardanger,6.6,Drama/Romance
Dancing Mothers,6.6,Drama
Don Juan,7.0,Adventure/Romance
Ella Cinders,6.7,Comedy/Romance
Eve's Leaves,4.6,Comedy/Romance
Exit Smiling,6.9,Comedy/Romance
Faust: Eine deutsche Volkssage,8.1,Drama/Fantasy/Horror
Fig Leaves,6.4,Comedy
Fine Manners,5.8,Comedy
Flesh and the Devil,7.6,Drama/Romance
For Heaven's Sake,7.5,Action/Comedy/Romance
Geheimnisse einer Seele,6.9,Drama
The Great K & A Train Robbery,6.3,Western
Hands Up!,6.6,Action/Comedy/War
Der heilige Berg,6.7,Drama
His First Flame,6.0,Comedy
It's the Old Army Game,6.4,Adventure/Comedy/Romance
Kid Boots,6.9,Comedy/Romance
Kiki,6.7,Comedy
Kurutta ippêji,7.4,Drama/Thriller
The Lodger: A Story of the London Fog,7.3,Crime/Drama/Mystery
Love 'Em and Leave 'Em,6.3,Comedy/Drama/Romance
Maciste all'inferno,6.7,Action/Drama/Fantasy
The Magician,6.7,Drama/Fantasy/Horror
Mantrap,6.8,Comedy
Mare Nostrum,6.8,Drama/War
Mat,7.5,Drama
Metropolis,8.3,Drama/Sci-Fi
Miss Mend,6.8,Adventure/Comedy/Crime
My Lady of Whims,5.7,Comedy
Namus,7.0,Drama
Nana,6.8,Drama/Romance
Nell Gwyn,5.2,Biography/Drama/History
Old Ironsides,6.7,Drama/History
Po zakonu,7.7,Drama
Protsess o tryokh millionakh,7.1,Comedy
The Road to Mandalay,6.6,Drama
